205,1,4.322
206,2,4.32
207,3,4.321
208,4,4.323
209,5,4.32
210,6,4.32
211,7,4.32
212,8,4.317
213,9,4.321
214,10,4.322
215,11,4.319
216,12,4.321
217,13,4.315
218,14,4.324
219,15,4.32
220,16,4.32
221,17,4.317
222,18,4.324
223,19,4.32
224,20,4.315
225,21,4.325
226,22,4.317
227,23,4.323
228,24,4.318
229,25,4.321
230,26,4.319
231,27,4.322
232,28,4.32
233,29,4.316
234,30,4.324
235,31,4.316
236,32,4.32
237,33,4.323
238,34,4.317
239,35,4.323
240,36,4.318
241,37,4.32
242,38,4.323
243,39,4.319
244,40,4.317
245,41,4.319
246,42,4.324
247,43,4.321
248,44,4.32
249,45,4.32
250,46,4.319
251,47,4.316
252,48,4.324
253,49,4.32
254,50,4.317
255,51,4.323
256,52,4.32
